essentialSets	p.geomean	stat.mean	p.val	q.val	set.size	exp1	setGroup
"hsa04110 Cell cycle"	"6.27726118405459e-13"	"0.35098269726425"	"6.2772611840546e-13"	"1.00436178944874e-10"	"115"	"6.27726118405459e-13"	"hsa04110 Cell cycle"
"hsa03030 DNA replication"	"4.7375437250213e-12"	"0.629311543580609"	"4.73754372502131e-12"	"3.79003498001705e-10"	"33"	"4.7375437250213e-12"	"hsa03030 DNA replication"
"hsa03430 Mismatch repair"	"3.04044115469379e-06"	"0.537753076617705"	"3.0404411546938e-06"	"0.000162156861583669"	"22"	"3.04044115469379e-06"	"hsa03430 Mismatch repair"
"hsa00480 Glutathione metabolism"	"2.13792840736113e-05"	"0.367158577466842"	"2.13792840736112e-05"	"0.000684844885705148"	"40"	"2.13792840736113e-05"	"hsa00480 Glutathione metabolism"
"hsa00240 Pyrimidine metabolism"	"2.14014026782858e-05"	"0.272097284390927"	"2.14014026782859e-05"	"0.000684844885705148"	"73"	"2.14014026782858e-05"	"hsa00240 Pyrimidine metabolism"
"hsa03008 Ribosome biogenesis in eukaryotes"	"7.13960478129542e-05"	"0.306510730614177"	"7.13960478129541e-05"	"0.00190389460834544"	"51"	"7.13960478129542e-05"	"hsa03008 Ribosome biogenesis in eukaryotes"
"hsa03010 Ribosome"	"0.000458533897727914"	"0.251580296280875"	"0.000458533897727914"	"0.0104807748052095"	"61"	"0.000458533897727914"	"hsa03010 Ribosome"
"hsa04142 Lysosome"	"0.000591288964377364"	"0.18797459959545"	"0.000591288964377363"	"0.0118257792875473"	"106"	"0.000591288964377364"	"hsa04142 Lysosome"
"hsa00670 One carbon pool by folate"	"0.000866688247062088"	"0.485060983002352"	"0.000866688247062088"	"0.0154077910588816"	"15"	"0.000866688247062088"	"hsa00670 One carbon pool by folate"
"hsa04115 p53 signaling pathway"	"0.00107172201604756"	"0.239242446358196"	"0.00107172201604756"	"0.0171475522567609"	"60"	"0.00107172201604756"	"hsa04115 p53 signaling pathway"
"hsa00650 Butanoate metabolism"	"0.00173463412675766"	"0.343442678207877"	"0.00173463412675766"	"0.0252310418437478"	"27"	"0.00173463412675766"	"hsa00650 Butanoate metabolism; hsa00071 Fatty acid metabolism"
"hsa03013 RNA transport"	"0.00222089394652606"	"0.162970581249021"	"0.00222089394652607"	"0.0296036547298477"	"116"	"0.00222089394652606"	"hsa03013 RNA transport"
"hsa00230 Purine metabolism"	"0.00240529694680012"	"0.154195164661875"	"0.00240529694680012"	"0.0296036547298477"	"128"	"0.00240529694680012"	"hsa00230 Purine metabolism"
"hsa04145 Phagosome"	"0.0031310137387557"	"0.151967015416707"	"0.0031310137387557"	"0.035783014157208"	"126"	"0.0031310137387557"	"hsa04145 Phagosome"
"hsa03410 Base excision repair"	"0.00439062229170061"	"0.306249482118331"	"0.00439062229170061"	"0.0468333044448065"	"29"	"0.00439062229170061"	"hsa03410 Base excision repair"
"hsa00980 Metabolism of xenobiotics by cytochrome P450"	"0.0088552004928966"	"0.220010209290454"	"0.0088552004928966"	"0.0833430634625562"	"49"	"0.0088552004928966"	"hsa00980 Metabolism of xenobiotics by cytochrome P450"
